id,formula,reduced_formula,elements,n_elements,temperature,duration_hours,heating_rate,cooling_method,density,crystal_system,space_group,bandgap,bandgap_type,formation_energy,decomposition_energy,categories,safety_flags,tier_score
B2Cu5Nd1Ni8Sr2,B2Cu5Nd1Ni8Sr2,Sr2NdCu5(Ni4B)2,B; Ni; Cu; Sr; Nd,5,1200,4,,natural,73334.0,orthorhombic,Cmmm,0.0032,semiconductor,-258.0,-212.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",1
Nb8S16Zr2,Nb8S16Zr2,Zr(NbS2)4,S; Zr; Nb,3,800,2,,natural,46945.0,hexagonal,P6_3/mmc,,semiconductor,-15563.0,-487.0,thermal-mass,[],1
Ca1La6O3Si8Y3,Ca1La6O3Si8Y3,CaLa6Y3Si8O3,O; Si; Ca; Y; La,5,1200,4,,natural,51284.0,orthorhombic,Amm2,0.0032,semiconductor,-15173.0,-274.0,compression-strong; thermal-mass; refractory,[],2
C12Fe2Nd6Ti2,C12Fe2Nd6Ti2,Nd3TiFeC6,C; Ti; Fe; Nd,4,1200,2,10,natural,63956.0,hexagonal,P6_3/m,0.0077,semiconductor,-3276.0,-662.0,tension-capable; thermal-mass; refractory,[],1
C18Fe12Y11,C18Fe12Y11,Y11(Fe2C3)6,C; Fe; Y,3,150,2,,natural,58785.0,cubic,I-43m,,semiconductor,-296.0,-586.0,thermal-mass,[],1
Co1Mo2Ti8,Co1Mo2Ti8,Ti8CoMo2,Ti; Co; Mo,3,1200,2,,natural,59546.0,monoclinic,C2/m,0.0024,semiconductor,-1224.0,-9.0,tension-capable; thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
Bi4Co4Nd20Sn4,Bi4Co4Nd20Sn4,Nd5CoSnBi,Co; Sn; Nd; Bi,4,800,2,,natural,76855.0,triclinic,P1,0.0013,semiconductor,-5266.0,-98.0,tension-capable; thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,1
Bi4La1O14Y3,Bi4La1O14Y3,LaY3(Bi2O7)2,O; Y; La; Bi,4,800,4,,natural,72757.0,triclinic,P1,,semiconductor,-2655.0,-552.0,thermal-mass,[],2
Ba2Fe4Mn8O24,Ba2Fe4Mn8O24,BaMn4(FeO6)2,O; Mn; Fe; Ba,4,900,2,,natural,49058.0,triclinic,P1,0.5316,semiconductor,-19929.0,-205.0,thermal-mass; colored-decorative; electrically-functional,Manganese — dust inhalation risk at high temps.; Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,0
La2Mo2Nd2O20Se4,La2Mo2Nd2O20Se4,LaNdMo(SeO5)2,O; Se; Mo; La; Nd,5,800,4,10,natural,50128.0,triclinic,P1,3.323,semiconductor,-24551.0,-184.0,thermal-mass; translucent-potential; colored-decorative; electrically-functional,Selenium — fumes toxic; good ventilation required.,3
P1Pb6S1Y10,P1Pb6S1Y10,Y10PPb6S,P; S; Y; Pb,4,800,2,,natural,73993.0,trigonal,P-31m,0.0196,semiconductor,-9486.0,-727.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",2
La8Sn6Y2,La8Sn6Y2,La4YSn3,Y; Sn; La,3,1000,2,,natural,65652.0,tetragonal,I4/mcm,0.0009,semiconductor,-7302.0,-125.0,thermal-mass,[],2
Ba3La1O24Sr4Ti8,Ba3La1O24Sr4Ti8,Ba3Sr4LaTi8O24,O; Ti; Sr; Ba; La,5,1200,4,5,natural,54927.0,tetragonal,P4/mmm,0.0066,semiconductor,-35544.0,-99.0,compression-strong; thermal-mass; refractory,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,1
Bi2Ce2Co2Sb2,Bi2Ce2Co2Sb2,CeCoBiSb,Co; Sb; Ce; Bi,4,1000,2,,natural,9133.0,tetragonal,P4/nmm,0.0011,semiconductor,-6072.0,-224.0,thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,1
La6Nd8Ni6,La6Nd8Ni6,La3Nd4Ni3,Ni; La; Nd,3,1200,2,,natural,6985.0,monoclinic,Cm,0.0024,semiconductor,-2115.0,-12.0,thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",2
O13Pb4W3Y1,O13Pb4W3Y1,YPb4W3O13,O; Y; W; Pb,4,1200,4,,natural,87898.0,trigonal,R3m,,semiconductor,-21881.0,-164.0,thermal-mass; refractory,"Lead — requires PPE, ventilation. Traditional in glazes.",2
Fe7Ni13P13Zr6,Fe7Ni13P13Zr6,Zr6Fe7(NiP)13,P; Fe; Ni; Zr,4,1200,2,,natural,71631.0,monoclinic,Pm,inf,semiconductor,-8776.0,-191.0,thermal-mass; translucent-potential; refractory,"Nickel — dust inhalation risk, skin sensitizer.",0
K2O12W4,K2O12W4,K(WO3)2,O; K; W,3,200,,,natural,57562.0,orthorhombic,Ima2,1.7351,semiconductor,-22471.0,-88.0,thermal-mass; electrically-functional,[],0
Co1Ni1Pb4Ti8,Co1Ni1Pb4Ti8,Ti8CoNiPb4,Ti; Co; Ni; Pb,4,1200,2,,natural,80043.0,tetragonal,I422,0.0002,semiconductor,-1664.0,-181.0,tension-capable; thermal-mass; refractory,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.; Lead — requires PPE, ventilation. Traditional in glazes.",1
Ba3Mn4Ni2P6,Ba3Mn4Ni2P6,Ba3Mn4(NiP3)2,P; Mn; Ni; Ba,4,900,4,,natural,55081.0,orthorhombic,Immm,,semiconductor,-7944.0,-285.0,thermal-mass,"Manganese — dust inhalation risk at high temps.; Nickel — dust inhalation risk, skin sensitizer.; Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.",0
Ba6Nb7O21,Ba6Nb7O21,Ba6Nb7O21,O; Nb; Ba,3,1200,4,,natural,61023.0,trigonal,R-3,0.0027,semiconductor,-31966.0,-11.0,thermal-mass,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,1
Bi4Ca10Pb2,Bi4Ca10Pb2,Ca5Bi2Pb,Ca; Pb; Bi,3,900,2,,natural,50952.0,orthorhombic,Amm2,0.0028,semiconductor,-7504.0,-103.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",1
Cu1Ni3Y4,Cu1Ni3Y4,Y4CuNi3,Ni; Cu; Y,3,1200,2,,natural,60087.0,monoclinic,Pm,0.0053,semiconductor,-3926.0,-41.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",1
Nb2O24P6V2,Nb2O24P6V2,NbV(PO4)3,O; P; V; Nb,4,900,2,,natural,29417.0,monoclinic,C2,,semiconductor,-27644.0,-81.0,thermal-mass; colored-decorative,Vanadium — some compounds toxic; V₂O₅ requires care.,2
Ca6Li16Pb8,Ca6Li16Pb8,Li8Ca3Pb4,Li; Ca; Pb,3,800,2,,natural,48677.0,cubic,Fm-3m,,semiconductor,-4149.0,-97.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",1
Li8Sb2Sn6Y8,Li8Sb2Sn6Y8,Li4Y4Sn3Sb,Li; Y; Sn; Sb,4,800,4,10,natural,51428.0,monoclinic,Cc,0.0048,semiconductor,-7528.0,-166.0,thermal-mass,[],2
Al1Ni1Sb4Sn2Zr10,Al1Ni1Sb4Sn2Zr10,Zr10AlNi(SnSb2)2,Al; Ni; Zr; Sn; Sb,5,800,2,,natural,74507.0,monoclinic,Cm,0.004,semiconductor,-7313.0,-142.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",1
Co1Fe3Zn1Zr1,Co1Fe3Zn1Zr1,ZrZnFe3Co,Fe; Co; Zn; Zr,4,1200,2,,natural,78952.0,trigonal,R3m,0.0135,semiconductor,-1979.0,-92.0,thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
La4Li1Si6Zn1,La4Li1Si6Zn1,LiLa4ZnSi6,Li; Si; Zn; La,4,1200,4,,natural,50403.0,orthorhombic,Fmm2,0.0029,semiconductor,-6593.0,-599.0,compression-strong; thermal-mass; refractory,[],1
Na1Nb8Sb1Se16,Na1Nb8Sb1Se16,NaNb8SbSe16,Na; Se; Nb; Sb,4,800,4,,natural,56343.0,trigonal,P-3m1,0.0091,semiconductor,-11494.0,-252.0,thermal-mass,Selenium — fumes toxic; good ventilation required.,3
La1Nb6Nd1S12,La1Nb6Nd1S12,LaNd(NbS2)6,S; Nb; La; Nd,4,1000,4,10,natural,47461.0,trigonal,P312,,semiconductor,-17189.0,-31.0,thermal-mass,[],3
Pb5Sn1Zn2Zr10,Pb5Sn1Zn2Zr10,Zr10Zn2SnPb5,Zn; Zr; Sn; Pb,4,400,1,,natural,90888.0,orthorhombic,Amm2,,semiconductor,-3718.0,4.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",1
Bi4Nd10Pb2,Bi4Nd10Pb2,Nd5Bi2Pb,Nd; Pb; Bi,3,800,2,,natural,85976.0,orthorhombic,Amm2,0.0005,semiconductor,-6973.0,-36.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",2
Fe2Mo2O32P8Pb4,Fe2Mo2O32P8Pb4,FeMoP4(PbO8)2,O; P; Fe; Mo; Pb,5,950,2,,natural,47198.0,monoclinic,Cc,,semiconductor,-23898.0,-93.0,thermal-mass; colored-decorative,"Lead — requires PPE, ventilation. Traditional in glazes.",1
La4Nd1Se4Si1,La4Nd1Se4Si1,La4NdSiSe4,Si; Se; La; Nd,4,1200,4,,natural,60568.0,tetragonal,I4/m,0.0154,semiconductor,-19402.0,-107.0,compression-strong; thermal-mass; refractory,Selenium — fumes toxic; good ventilation required.,3
Bi8Na16Ti2,Bi8Na16Ti2,Na8TiBi4,Na; Ti; Bi,3,800,1,,natural,41907.0,cubic,Fd-3m,0.457,semiconductor,-3463.0,-114.0,thermal-mass,[],0
Co5Y4,Co5Y4,Y4Co5,Co; Y,2,800,2,,natural,6358.0,monoclinic,C2/m,0.0017,semiconductor,-1965.0,-61.0,thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,1
Ba40Sb26,Ba40Sb26,Ba20Sb13,Sb; Ba,2,800,2,,natural,47864.0,orthorhombic,Fdd2,,semiconductor,-11028.0,-15.0,thermal-mass,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,1
Mo1Nb8Si16Ti11,Mo1Nb8Si16Ti11,Ti11Nb8Si16Mo,Si; Ti; Nb; Mo,4,1200,2,,natural,54959.0,monoclinic,Pm,0.0078,semiconductor,-7512.0,-55.0,compression-strong; tension-capable; thermal-mass; refractory,[],1
C4Co4Mo1Ni4W15,C4Co4Mo1Ni4W15,Co4Ni4MoW15C4,C; Co; Ni; Mo; W,5,1200,4,,natural,153933.0,monoclinic,Cm,0.0071,semiconductor,-865.0,-81.0,tension-capable; thermal-mass; refractory,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",0
Ba1Cr1Fe1Mn2Sb12,Ba1Cr1Fe1Mn2Sb12,BaMn2CrFeSb12,Cr; Mn; Fe; Sb; Ba,5,1000,4,,natural,72233.0,triclinic,P-1,0.0007,semiconductor,-2717.0,-339.0,tension-capable; thermal-mass; refractory,Chromium — Cr⁶⁺ compounds toxic; Cr₂O₃ (green) is safer.; Manganese — dust inhalation risk at high temps.; Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,1
C7Ce5W2,C7Ce5W2,Ce5W2C7,C; Ce; W,3,120,1,,natural,90322.0,orthorhombic,Cmmm,0.0013,semiconductor,-2799.0,-293.0,thermal-mass,[],0
Cu18K1Nd1Si8,Cu18K1Nd1Si8,KNd(Cu9Si4)2,Si; K; Cu; Nd,4,1100,1,,furnace_cool,67241.0,tetragonal,I422,0.0069,semiconductor,-1551.0,-93.0,compression-strong; thermal-mass; refractory,[],1
Fe4O24Sb6W2,Fe4O24Sb6W2,Fe2Sb3WO12,O; Fe; Sb; W,4,800,2,,natural,66115.0,orthorhombic,Cmm2,0.7537,semiconductor,-19207.0,-8.0,thermal-mass; colored-decorative; electrically-functional,[],1
Se12Ti2Zr22,Se12Ti2Zr22,Zr11TiSe6,Ti; Se; Zr,3,1200,2,,natural,7019.0,monoclinic,P2/m,inf,semiconductor,-10826.0,-16.0,thermal-mass; translucent-potential; refractory,Selenium — fumes toxic; good ventilation required.,1
Al1K6Sb4Y1,Al1K6Sb4Y1,K6YAlSb4,Al; K; Y; Sb,4,600,2,,natural,2834.0,orthorhombic,I222,0.8101,semiconductor,-608.0,-294.0,lightweight; electrically-functional,[],2
Co1Cr4Fe1Mn2P4,Co1Cr4Fe1Mn2P4,Mn2Cr4FeCoP4,P; Cr; Mn; Fe; Co,5,1200,2,,natural,68203.0,monoclinic,Pm,0.0049,semiconductor,-5326.0,-16.0,tension-capable; thermal-mass; refractory,Chromium — Cr⁶⁺ compounds toxic; Cr₂O₃ (green) is safer.; Manganese — dust inhalation risk at high temps.; Cobalt — dust inhalation risk. Common in blue glazes.,0
B2Co3Cu7La3Ni3,B2Co3Cu7La3Ni3,La3Co3Cu7Ni3B2,B; Co; Ni; Cu; La,5,1200,2,,natural,80801.0,hexagonal,P6mm,0.0036,semiconductor,-2945.0,-161.0,tension-capable; thermal-mass,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",1
Al6Fe12Mo1Ti5,Al6Fe12Mo1Ti5,Ti5Al6Fe12Mo,Al; Ti; Fe; Mo,4,1200,1,,natural,65194.0,orthorhombic,Pmmm,0.0012,semiconductor,-4349.0,-208.0,tension-capable; thermal-mass; refractory,[],0
Ba4Nb4O18Sr4,Ba4Nb4O18Sr4,Ba2Sr2Nb2O9,O; Sr; Nb; Ba,4,800,4,,natural,5153.0,hexagonal,P6_3,3.5382,semiconductor,-32774.0,-52.0,thermal-mass; translucent-potential,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,1
Mo1Si16V11Zr8,Mo1Si16V11Zr8,Zr8V11Si16Mo,Si; V; Zr; Mo,4,1200,2,,natural,5578.0,monoclinic,Pm,0.0012,semiconductor,-7785.0,-753.0,compression-strong; thermal-mass; refractory,Vanadium — some compounds toxic; V₂O₅ requires care.,1
Mg1Sn1Zr6,Mg1Sn1Zr6,MgZr6Sn,Mg; Zr; Sn,3,800,,,natural,64098.0,cubic,Fm-3m,0.0103,semiconductor,-2041.0,-131.0,thermal-mass,[],0
Fe6Mg2Ni6P7,Fe6Mg2Ni6P7,Mg2Fe6Ni6P7,Mg; P; Fe; Ni,4,900,2,,natural,63557.0,hexagonal,P-6,0.0032,semiconductor,-5633.0,-267.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
K12Li8P12V4,K12Li8P12V4,K3Li2VP3,Li; P; K; V,4,800,4,,natural,21771.0,orthorhombic,Cmce,inf,semiconductor,-5639.0,-406.0,thermal-mass; translucent-potential,Vanadium — some compounds toxic; V₂O₅ requires care.,1
Co16Li2P12Zr6,Co16Li2P12Zr6,LiZr3(Co4P3)2,Li; P; Co; Zr,4,1200,2,,natural,68891.0,orthorhombic,Amm2,0.0059,semiconductor,-9615.0,-302.0,thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
Bi2Si1Zr6,Bi2Si1Zr6,Zr6SiBi2,Si; Zr; Bi,3,1200,2,,natural,80654.0,hexagonal,P-62m,0.0144,semiconductor,-5139.0,-711.0,compression-strong; thermal-mass; refractory,[],0
P4Se4Ti24,P4Se4Ti24,Ti6PSe,P; Ti; Se,3,800,4,10,natural,51989.0,tetragonal,P4_2,0.0006,semiconductor,-8037.0,-35.0,thermal-mass,Selenium — fumes toxic; good ventilation required.,1
Bi4O26W8,Bi4O26W8,Bi2W4O13,O; W; Bi,3,800,4,,natural,77001.0,monoclinic,P2_1/m,,semiconductor,-20453.0,-141.0,thermal-mass,[],0
Co8Ni12P12Y4,Co8Ni12P12Y4,YCo2(NiP)3,P; Co; Ni; Y,4,1200,2,,natural,70281.0,orthorhombic,Pnma,inf,semiconductor,-837.0,-13.0,thermal-mass; translucent-potential,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",1
Ce2Ni11P7W1,Ce2Ni11P7W1,Ce2Ni11P7W,P; Ni; Ce; W,4,1200,2,,natural,82053.0,monoclinic,Pm,0.0024,semiconductor,-7463.0,-142.0,tension-capable; thermal-mass; refractory,"Nickel — dust inhalation risk, skin sensitizer.",0
Cu1Sb6Si1Ti10,Cu1Sb6Si1Ti10,Ti10CuSiSb6,Si; Ti; Cu; Sb,4,1000,2,,natural,67393.0,trigonal,P-31m,,semiconductor,-6185.0,-142.0,compression-strong; thermal-mass; refractory,[],1
Co8Ni6P8Y4,Co8Ni6P8Y4,Y2Co4Ni3P4,P; Co; Ni; Y,4,1200,2,,natural,68915.0,orthorhombic,Pmn2_1,0.0004,semiconductor,-8859.0,-125.0,tension-capable; thermal-mass,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",1
Co4La3Nd4Sn13,Co4La3Nd4Sn13,La3Nd4Co4Sn13,Co; Sn; La; Nd,4,1200,2,,natural,77186.0,tetragonal,P4/m,0.0053,semiconductor,-5908.0,-117.0,tension-capable; thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,2
B2Cu1Mg3Ni6,B2Cu1Mg3Ni6,Mg3Cu(Ni3B)2,B; Mg; Ni; Cu,4,800,2,,natural,58969.0,trigonal,R-3m,0.0095,semiconductor,-3106.0,-188.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
Al9Cu13,Al9Cu13,Al9Cu13,Al; Cu,2,800,,,natural,61038.0,monoclinic,C2/m,0.0018,semiconductor,-2213.0,-104.0,tension-capable; thermal-mass,[],0
Mn4P4Ti2V2,Mn4P4Ti2V2,TiMn2VP2,P; Ti; V; Mn,4,1200,2,,natural,60643.0,orthorhombic,Pmc2_1,0.002,semiconductor,-8828.0,-436.0,tension-capable; thermal-mass; refractory,Vanadium — some compounds toxic; V₂O₅ requires care.; Manganese — dust inhalation risk at high temps.,1
