id,formula,reduced_formula,elements,n_elements,temperature,duration_hours,heating_rate,cooling_method,density,crystal_system,space_group,bandgap,bandgap_type,formation_energy,decomposition_energy,categories,safety_flags,tier_score
Ce4Mn16P12W4,Ce4Mn16P12W4,CeMn4P3W,P; Mn; Ce; W,4,800,3,5,natural,85918.0,orthorhombic,Pnma,,semiconductor,-709.0,-33.0,thermal-mass,Manganese — dust inhalation risk at high temps.,0
Co6Cr1Mo6,Co6Cr1Mo6,Cr(CoMo)6,Cr; Co; Mo,3,1200,2,,natural,97442.0,trigonal,R-3m,0.0013,semiconductor,-411.0,-87.0,tension-capable; thermal-mass; refractory,Chromium — Cr⁶⁺ compounds toxic; Cr₂O₃ (green) is safer.; Cobalt — dust inhalation risk. Common in blue glazes.,0
Na2Pb1Sb6Sn6,Na2Pb1Sb6Sn6,Na2Sn6Sb6Pb,Na; Sn; Sb; Pb,4,600,2,,natural,59367.0,monoclinic,C2/m,,semiconductor,-1838.0,-204.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",2
Mn1Ni3Si4Y4,Mn1Ni3Si4Y4,Y4MnSi4Ni3,Si; Mn; Ni; Y,4,1200,2,,natural,55382.0,monoclinic,Pm,,semiconductor,-742.0,111.0,compression-strong; thermal-mass; refractory,"Manganese — dust inhalation risk at high temps.; Nickel — dust inhalation risk, skin sensitizer.",1
C4Co7Mo2Ni1W14,C4Co7Mo2Ni1W14,Co7NiMo2(W7C2)2,C; Co; Ni; Mo; W,5,1200,2,,natural,150322.0,monoclinic,Cm,0.005,semiconductor,-767.0,-38.0,tension-capable; thermal-mass; refractory,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",0
Al4Ba12Bi8Sb4,Al4Ba12Bi8Sb4,Ba3AlBi2Sb,Al; Sb; Ba; Bi,4,600,,,natural,56265.0,orthorhombic,Cmce,0.3219,semiconductor,-8453.0,-182.0,thermal-mass,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,1
Al9C4Nb12Ni2V1,Al9C4Nb12Ni2V1,Nb12Al9V(NiC2)2,C; Al; V; Ni; Nb,5,1200,2,,natural,63688.0,monoclinic,C2/m,,semiconductor,-5121.0,-398.0,thermal-mass; refractory,"Vanadium — some compounds toxic; V₂O₅ requires care.; Nickel — dust inhalation risk, skin sensitizer.",2
Ce4Si16Ti7W5Y4,Ce4Si16Ti7W5Y4,Ce4Y4Ti7Si16W5,Si; Ti; Y; Ce; W,5,1300,4,,natural,68676.0,triclinic,P1,,semiconductor,-6938.0,-697.0,compression-strong; thermal-mass; refractory,[],1
Nd15Pb16Y5,Nd15Pb16Y5,Nd15Y5Pb16,Y; Nd; Pb,3,1000,2,,natural,85899.0,triclinic,P1,,semiconductor,-5949.0,-268.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",3
Nb5Nd1Se10,Nb5Nd1Se10,Nd(NbSe2)5,Se; Nb; Nd,3,800,2,10,natural,58641.0,triclinic,P1,0.002,semiconductor,-13311.0,-247.0,thermal-mass,Selenium — fumes toxic; good ventilation required.,3
Mn1Nd4Ni2Sb8,Mn1Nd4Ni2Sb8,Nd4Mn(NiSb4)2,Mn; Ni; Sb; Nd,4,1200,2,10,natural,74338.0,tetragonal,I-42m,0.0059,semiconductor,-8334.0,-35.0,tension-capable; thermal-mass,"Manganese — dust inhalation risk at high temps.; Nickel — dust inhalation risk, skin sensitizer.",2
Bi3La10Se2Sn3,Bi3La10Se2Sn3,La10Sn3Bi3Se2,Se; Sn; La; Bi,4,800,2,,natural,73029.0,hexagonal,P-62m,0.0016,semiconductor,-11829.0,-249.0,thermal-mass,Selenium — fumes toxic; good ventilation required.,2
Cu1Mn1Na1S2,Cu1Mn1Na1S2,NaMnCuS2,Na; S; Mn; Cu,4,900,2,,natural,36573.0,trigonal,P3m1,0.5633,semiconductor,-8548.0,-335.0,thermal-mass; electrically-functional,Manganese — dust inhalation risk at high temps.,0
Li16Si6Zn4,Li16Si6Zn4,Li8Zn2Si3,Li; Si; Zn,3,300,4,,natural,23417.0,trigonal,R-3c,0.0128,semiconductor,-2683.0,-18.0,compression-strong; thermal-mass,[],0
Al2C4Ce3Fe9,Al2C4Ce3Fe9,Ce3Al2Fe9C4,C; Al; Fe; Ce,4,600,2,,natural,78278.0,hexagonal,P6/mmm,0.0007,semiconductor,-2586.0,-706.0,tension-capable; thermal-mass,[],0
C12Cr3La6Ti1,C12Cr3La6Ti1,La6Ti(CrC4)3,C; Ti; Cr; La,4,1200,2,,natural,60163.0,trigonal,P-3,0.0021,semiconductor,-2723.0,-611.0,tension-capable; thermal-mass; refractory,Chromium — Cr⁶⁺ compounds toxic; Cr₂O₃ (green) is safer.,1
Bi4Mo2O24Se6,Bi4Mo2O24Se6,Bi2Mo(SeO4)3,O; Se; Mo; Bi,4,900,2,,natural,58955.0,triclinic,P-1,2.8321,semiconductor,-15634.0,-39.0,thermal-mass; translucent-potential; electrically-functional,Selenium — fumes toxic; good ventilation required.,1
Al6Co1Fe11Ti6,Al6Co1Fe11Ti6,Ti6Al6Fe11Co,Al; Ti; Fe; Co,4,1200,2,,natural,62803.0,orthorhombic,Pmm2,,semiconductor,-4751.0,3.0,thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
Bi6Co1P1Zr10,Bi6Co1P1Zr10,Zr10CoBi6P,P; Co; Zr; Bi,4,1200,2,,natural,93528.0,trigonal,P-31m,0.0111,semiconductor,-5299.0,-364.0,thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
Al1Ni4Sn1Y12,Al1Ni4Sn1Y12,Y12AlNi4Sn,Al; Ni; Y; Sn,4,0,2,,natural,51928.0,orthorhombic,Immm,0.0007,semiconductor,-3779.0,-37.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",1
Ce4Ni15P12V5,Ce4Ni15P12V5,Ce4V5(Ni5P4)3,P; V; Ni; Ce,4,800,2,,natural,71987.0,monoclinic,Pm,inf,semiconductor,-8846.0,-112.0,thermal-mass; translucent-potential,"Vanadium — some compounds toxic; V₂O₅ requires care.; Nickel — dust inhalation risk, skin sensitizer.",1
Co6Sn23Sr1Y6,Co6Sn23Sr1Y6,SrY6Co6Sn23,Co; Sr; Y; Sn,4,1000,2,,natural,7455.0,trigonal,P-3m1,,semiconductor,-4075.0,3.0,thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,1
Al19Ce2Fe4Si1,Al19Ce2Fe4Si1,Ce2Al19Fe4Si,Al; Si; Fe; Ce,4,750,2,,natural,42171.0,monoclinic,Cm,0.0021,semiconductor,-3679.0,-98.0,compression-strong; tension-capable; thermal-mass,[],0
Co6Zr14,Co6Zr14,Zr7Co3,Co; Zr,2,1200,2,,natural,69303.0,hexagonal,P6_3mc,0.0029,semiconductor,-2479.0,-92.0,thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
C6Cr6Mn14W2Zn1,C6Cr6Mn14W2Zn1,Mn14ZnCr6(WC3)2,C; Cr; Mn; Zn; W,5,1200,2,,natural,89974.0,orthorhombic,Imm2,0.0005,semiconductor,-1091.0,-2.0,tension-capable; thermal-mass; refractory,Chromium — Cr⁶⁺ compounds toxic; Cr₂O₃ (green) is safer.; Manganese — dust inhalation risk at high temps.,0
Ba20P1Si11,Ba20P1Si11,Ba20Si11P,Si; P; Ba,3,1200,2,,natural,42845.0,tetragonal,P4,,semiconductor,-3721.0,-73.0,compression-strong; thermal-mass; refractory,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,0
Co2K1Na7O6,Co2K1Na7O6,KNa7(CoO3)2,O; Na; K; Co,4,800,2,,natural,26702.0,monoclinic,C2/m,1.0687,semiconductor,-1473.0,-43.0,thermal-mass; colored-decorative; electrically-functional,Cobalt — dust inhalation risk. Common in blue glazes.,0
Sb6Sr6Y2,Sb6Sr6Y2,Sr3YSb3,Sr; Y; Sb,3,1100,2,10,natural,50017.0,monoclinic,Cc,0.6958,semiconductor,-11536.0,-317.0,thermal-mass; electrically-functional,[],2
Ca2Nd8Si5Sn1,Ca2Nd8Si5Sn1,Ca2Nd8Si5Sn,Si; Ca; Sn; Nd,4,1200,2,,natural,56543.0,tetragonal,I422,0.0025,semiconductor,-6358.0,-466.0,compression-strong; thermal-mass; refractory,[],1
Ba6Ce2O18Pb4,Ba6Ce2O18Pb4,Ba3CePb2O9,O; Ba; Ce; Pb,4,1000,4,,natural,72791.0,triclinic,P-1,1.0838,semiconductor,-26211.0,-177.0,thermal-mass; colored-decorative; electrically-functional,"Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.; Lead — requires PPE, ventilation. Traditional in glazes.",1
Cu2Nd1O16S4,Cu2Nd1O16S4,NdCu2(SO4)4,O; S; Cu; Nd,4,950,4,,natural,3262.0,monoclinic,C2/m,0.0012,semiconductor,-19104.0,-7.0,colored-decorative; lightweight,[],1
Ba4P6Sr2,Ba4P6Sr2,Ba2SrP3,P; Sr; Ba,3,1000,4,,natural,39275.0,orthorhombic,Amm2,,semiconductor,-10176.0,-123.0,thermal-mass,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,0
Ca9La1Si5Sn1,Ca9La1Si5Sn1,Ca9LaSi5Sn,Si; Ca; Sn; La,4,1000,2,,natural,2817.0,triclinic,P1,,semiconductor,-5581.0,-368.0,lightweight; refractory,[],1
Al8K1Sn6Sr21,Al8K1Sn6Sr21,KSr21(Al4Sn3)2,Al; K; Sr; Sn,4,750,2,,natural,35336.0,cubic,Fm-3m,0.0257,semiconductor,-4034.0,-16.0,thermal-mass,[],0
Cu2Sb18Zr10,Cu2Sb18Zr10,Zr5CuSb9,Cu; Zr; Sb,3,1100,2,,natural,75924.0,tetragonal,P4/n,0.0033,semiconductor,-6531.0,-9.0,thermal-mass; refractory,[],1
Al1Sb5Zn2Zr10,Al1Sb5Zn2Zr10,Zr10AlZn2Sb5,Al; Zn; Zr; Sb,4,200,2,,natural,73609.0,orthorhombic,Amm2,0.0007,semiconductor,-7329.0,-107.0,tension-capable; thermal-mass,[],1
Co3Nb3Se12V1,Co3Nb3Se12V1,Nb3V(CoSe4)3,V; Co; Se; Nb,4,800,2,,natural,56481.0,monoclinic,Cm,0.0005,semiconductor,-943.0,-227.0,thermal-mass,Vanadium — some compounds toxic; V₂O₅ requires care.; Cobalt — dust inhalation risk. Common in blue glazes.; Selenium — fumes toxic; good ventilation required.,3
B4Fe10Nb2Ti4,B4Fe10Nb2Ti4,Ti2NbFe5B2,B; Ti; Fe; Nb,4,1200,2,,natural,74184.0,orthorhombic,Cmmm,0.0015,semiconductor,-463.0,-151.0,tension-capable; thermal-mass; refractory,[],1
Bi6Nd2Sr6,Bi6Nd2Sr6,Sr3NdBi3,Sr; Nd; Bi,3,800,2,,natural,66639.0,monoclinic,Cc,0.4506,semiconductor,-9218.0,-276.0,thermal-mass,[],1
Mg2Mo6Ni2O24Zn2,Mg2Mo6Ni2O24Zn2,MgZnNi(MoO4)3,O; Mg; Ni; Zn; Mo,5,800,4,,natural,38817.0,triclinic,P-1,3.6773,semiconductor,-20366.0,-98.0,thermal-mass; translucent-potential; colored-decorative,"Nickel — dust inhalation risk, skin sensitizer.",0
Ce8Si6W2,Ce8Si6W2,Ce4Si3W,Si; Ce; W,3,200,2,,natural,79648.0,tetragonal,I4/mcm,,semiconductor,-5358.0,-385.0,compression-strong; thermal-mass,[],0
Bi8Ca12La8Sn8,Bi8Ca12La8Sn8,Ca3La2(SnBi)2,Ca; Sn; La; Bi,4,800,2,,natural,59649.0,orthorhombic,Pnma,,semiconductor,-8735.0,-438.0,thermal-mass,[],1
Cr2Fe2La2O16Sr6,Cr2Fe2La2O16Sr6,Sr3LaCrFeO8,O; Cr; Fe; Sr; La,5,1200,4,,natural,55212.0,orthorhombic,Amm2,0.9822,semiconductor,-28577.0,-28.0,thermal-mass; colored-decorative; refractory; electrically-functional,Chromium — Cr⁶⁺ compounds toxic; Cr₂O₃ (green) is safer.,1
Al2Pb1Sn5Zr10,Al2Pb1Sn5Zr10,Zr10Al2Sn5Pb,Al; Zr; Sn; Pb,4,800,2,,natural,74378.0,orthorhombic,Amm2,,semiconductor,-5586.0,6.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",1
Bi3Ni4Sb1Zr3,Bi3Ni4Sb1Zr3,Zr3Ni4Bi3Sb,Ni; Zr; Sb; Bi,4,1000,2,10,natural,87232.0,orthorhombic,Fmm2,0.7786,semiconductor,-46.0,-266.0,thermal-mass; refractory; electrically-functional,"Nickel — dust inhalation risk, skin sensitizer.",1
Co16Y6,Co16Y6,Y3Co8,Co; Y,2,1200,2,,natural,72018.0,cubic,Im-3m,0.0004,semiconductor,-1753.0,-205.0,thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,1
Co1Mg1O14Pb4Si4,Co1Mg1O14Pb4Si4,MgCoSi4(Pb2O7)2,O; Mg; Si; Co; Pb,5,800,1,,natural,58239.0,tetragonal,P-4,2.5194,semiconductor,-25398.0,-65.0,compression-strong; thermal-mass; translucent-potential; colored-decorative; electrically-functional,"Cobalt — dust inhalation risk. Common in blue glazes.; Lead — requires PPE, ventilation. Traditional in glazes.",1
Ba6Co1Mn4O15,Ba6Co1Mn4O15,Ba6Mn4CoO15,O; Mn; Co; Ba,4,1000,4,,natural,57032.0,triclinic,P1,1.7471,semiconductor,-24691.0,-52.0,thermal-mass; colored-decorative; electrically-functional,Manganese — dust inhalation risk at high temps.; Cobalt — dust inhalation risk. Common in blue glazes.; Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,0
Co16Nb1Si7Ti4W1,Co16Nb1Si7Ti4W1,Ti4NbCo16Si7W,Si; Ti; Co; Nb; W,5,1200,2,,natural,78172.0,tetragonal,I4mm,,semiconductor,-5673.0,-236.0,compression-strong; thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,1
Al1Ca1Cu4,Al1Ca1Cu4,CaAlCu4,Al; Ca; Cu,3,1000,,,natural,55636.0,orthorhombic,Cmmm,0.0009,semiconductor,-2137.0,-356.0,tension-capable; thermal-mass; refractory,[],0
Ce1Li2Sb4Y1,Ce1Li2Sb4Y1,Li2CeYSb4,Li; Y; Sb; Ce,4,800,4,,natural,60818.0,tetragonal,P4mm,0.0032,semiconductor,-9107.0,-181.0,thermal-mass,[],2
Al1B6Ni20Zn2,Al1B6Ni20Zn2,AlZn2(Ni10B3)2,B; Al; Ni; Zn,4,600,2,,natural,80345.0,cubic,Fm-3m,0.0131,semiconductor,-3232.0,-8.0,thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
Bi6La7Nd3P2,Bi6La7Nd3P2,La7Nd3(Bi3P)2,P; La; Nd; Bi,4,1200,2,,natural,79863.0,trigonal,P312,0.0036,semiconductor,-10826.0,-285.0,thermal-mass,[],2
Ni16Si12V3Y5,Ni16Si12V3Y5,Y5V3(Si3Ni4)4,Si; V; Ni; Y,4,1200,2,,natural,62275.0,hexagonal,P-62m,inf,semiconductor,-7478.0,-148.0,compression-strong; thermal-mass; translucent-potential; refractory,"Vanadium — some compounds toxic; V₂O₅ requires care.; Nickel — dust inhalation risk, skin sensitizer.",2
Al2Li28Si7Sn1,Al2Li28Si7Sn1,Li28Al2Si7Sn,Li; Al; Si; Sn,4,200,,,natural,15674.0,triclinic,P1,0.0025,semiconductor,-2588.0,-115.0,compression-strong; tension-capable; thermal-mass,[],0
B4Mo2Nb8P2,B4Mo2Nb8P2,Nb4B2MoP,B; P; Nb; Mo,4,1200,4,,natural,78597.0,tetragonal,I4/mcm,0.0003,semiconductor,-7396.0,-311.0,thermal-mass; refractory,[],1
Li1Ni20P6Zn2,Li1Ni20P6Zn2,LiZn2(Ni10P3)2,Li; P; Ni; Zn,4,800,2,,natural,74406.0,cubic,Fm-3m,0.011,semiconductor,-4303.0,-81.0,thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
Na2Nb6S12,Na2Nb6S12,Na(NbS2)3,Na; S; Nb,3,800,4,,natural,37457.0,hexagonal,P6_322,0.0069,semiconductor,-14631.0,-389.0,thermal-mass,[],1
Bi3Ni1Sn3Zn1Zr10,Bi3Ni1Sn3Zn1Zr10,Zr10ZnNi(SnBi)3,Ni; Zn; Zr; Sn; Bi,5,650,,,natural,84827.0,trigonal,P31m,0.0028,semiconductor,-5116.0,-278.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
Ba10Ni1Si17,Ba10Ni1Si17,Ba10Si17Ni,Si; Ni; Ba,3,1100,2,,natural,42125.0,monoclinic,Cm,,semiconductor,-3822.0,-223.0,compression-strong; thermal-mass; refractory,"Nickel — dust inhalation risk, skin sensitizer.; Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.",0
Co3Fe9Nd2P7,Co3Fe9Nd2P7,Nd2Fe9Co3P7,P; Fe; Co; Nd,4,1200,2,,natural,75947.0,hexagonal,P-6,0.0032,semiconductor,-7.0,-269.0,tension-capable; thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,1
Cu1Nb4Sn6Zn1Zr6,Cu1Nb4Sn6Zn1Zr6,Zr6Nb4ZnCuSn6,Cu; Zn; Zr; Nb; Sn,5,100,2,,natural,80124.0,trigonal,P-31m,0.0049,semiconductor,-4431.0,-28.0,tension-capable; thermal-mass,[],1
Ba6Ni2O12Y2,Ba6Ni2O12Y2,Ba3YNiO6,O; Ni; Y; Ba,4,1100,4,,natural,60069.0,trigonal,R-3c,0.0005,semiconductor,-27229.0,-78.0,thermal-mass; colored-decorative,"Nickel — dust inhalation risk, skin sensitizer.; Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.",1
C2Mo12Ni5Si7,C2Mo12Ni5Si7,Si7Ni5(Mo6C)2,C; Si; Ni; Mo,4,300,2,,natural,82954.0,trigonal,R3m,0.0007,semiconductor,-3981.0,-258.0,compression-strong; tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
Bi8O20Ti1V3,Bi8O20Ti1V3,TiV3(Bi2O5)4,O; Ti; V; Bi,4,900,4,,natural,72273.0,monoclinic,Pm,1.7332,semiconductor,-20854.0,-87.0,compression-strong; thermal-mass; colored-decorative; electrically-functional,Vanadium — some compounds toxic; V₂O₅ requires care.,1
Na1Nd5S8,Na1Nd5S8,NaNd5S8,Na; S; Nd,3,800,3,,natural,52212.0,tetragonal,I-4,,semiconductor,-22692.0,9.0,thermal-mass,[],1
B4Ca2Fe2Mn2O12,B4Ca2Fe2Mn2O12,CaMnFe(BO3)2,B; O; Ca; Mn; Fe,5,1200,4,,natural,35574.0,orthorhombic,Pnn2,3.1463,semiconductor,-26354.0,-49.0,compression-strong; thermal-mass; translucent-potential; colored-decorative; electrically-functional,Manganese — dust inhalation risk at high temps.,0
