id,formula,material_system,is_metallic,dimensionality,db_temperature_c,corrected_temp_min_c,corrected_temp_max_c,temp_correction_note,score_sustainability,score_structural,score_sensory,score_novelty,score_recipe_confidence,score_composite,architectural_categories
Cs1S6Zr3,Cs1S6Zr3,sulfide,False,intercalated ion,1000,150,800,too high: 1000C → suggest 150-800C,7.82,9.0,3.0,5.5,8.0,6.78,metallic/tension; sulfide/lightweight
B24Na1Nd2Pr1,B24Na1Nd2Pr1,metallic-other,True,intercalated ion,1200,800,1300,,5.64,9.0,5.0,5.5,8.0,6.64,metallic/tension; luminescent
Er8Ge4Si12Zr12,Er8Ge4Si12Zr12,metallic-other,True,3D,1500,800,1300,,5.33,6.0,7.0,4.0,8.0,6.13,translucent-potential; luminescent
Bi1Er8Ni5Y4,Bi1Er8Ni5Y4,iron-alloy,True,3D,1200,1200,1500,,3.54,9.0,5.0,3.5,8.0,5.81,metallic/tension; luminescent
Bi1Sm1Sn15Tm19,Bi1Sm1Sn15Tm19,metallic-other,True,3D,950,800,1300,,4.48,6.0,3.0,4.0,8.0,5.12,[]
Co4Ga1Gd4In1Tb8,Co4Ga1Gd4In1Tb8,iron-alloy,True,3D,1200,1200,1500,,3.08,6.0,5.0,7.0,8.0,5.62,luminescent; phase-change
Er2P6Ru12Si1,Er2P6Ru12Si1,metallic-other,True,3D,1200,800,1300,,2.79,9.0,5.0,5.0,8.0,5.85,metallic/tension; luminescent
As1Cu4Sc3Si1,As1Cu4Sc3Si1,copper-alloy,True,,0,950,1100,,4.67,6.0,3.0,5.0,8.0,5.32,[]
Cd4Co1Ni3Tb4Y12,Cd4Co1Ni3Tb4Y12,iron-alloy,True,3D,900,1200,1500,too low: 900C → suggest 1200-1500C,3.25,9.0,5.0,7.0,8.0,6.26,metallic/tension; luminescent
Ca4O16Ru3W1,Ca4O16Ru3W1,general-oxide,False,intercalated ion,800,800,1200,,5.85,8.0,3.0,5.5,8.0,6.09,metallic/tension; ceramic/compression
Be2Co7Tm3,Be2Co7Tm3,iron-alloy,True,intercalated ion,1200,1200,1500,,3.44,9.0,3.0,7.0,8.0,5.91,metallic/tension
B24Ca1Ru4Y7,B24Ca1Ru4Y7,metallic-other,True,intercalated ion,1200,800,1300,,5.04,9.0,3.0,5.5,8.0,6.09,metallic/tension
B6Er4Mn2Pa1,B6Er4Mn2Pa1,metallic-other,True,3D,1200,800,1300,,4.83,9.0,5.0,5.0,8.0,6.36,metallic/tension; luminescent
Ga4Li1Ru3Sm4,Ga4Li1Ru3Sm4,metallic-other,True,intercalated ion,1200,800,1300,,3.19,9.0,3.0,6.5,8.0,5.77,metallic/tension; phase-change
Ag1Ga2In1Mg2Y3,Ag1Ga2In1Mg2Y3,metallic-other,True,3D,750,800,1300,,5.0,9.0,3.0,6.5,8.0,6.22,metallic/tension; phase-change
Al2Cs4Ga2Ge4Se16,Al2Cs4Ga2Ge4Se16,aluminum-alloy,True,intercalated ion,800,660,900,,5.53,5.0,3.0,8.5,8.0,5.86,phase-change
Co12Ni8P12Tb4,Co12Ni8P12Tb4,iron-alloy,True,3D,1200,1200,1500,,4.75,9.0,5.0,3.5,8.0,6.11,metallic/tension; luminescent
Bi8Ga4Tb13Y7,Bi8Ga4Tb13Y7,metallic-other,True,3D,1200,800,1300,,4.3,9.0,5.0,4.0,8.0,6.07,metallic/tension; luminescent; phase-change
B2Cu5Nd1Ni8Sr2,B2Cu5Nd1Ni8Sr2,copper-alloy,True,3D,1200,950,1100,,5.79,9.0,5.0,5.0,8.0,6.6,metallic/tension
Nb8S16Zr2,Nb8S16Zr2,sulfide,False,,800,150,800,,7.9,6.0,3.0,4.0,8.0,5.97,sulfide/lightweight
Ag5La1Zn7,Ag5La1Zn7,metallic-other,True,3D,850,800,1300,,5.12,6.0,3.0,3.5,8.0,5.2,[]
Cu1Ge3La2Mg3Zn2,Cu1Ge3La2Mg3Zn2,copper-alloy,True,3D,800,950,1100,,5.49,9.0,3.0,5.5,8.0,6.2,metallic/tension
Eu1Li4Nd3O16Sr8,Eu1Li4Nd3O16Sr8,rare-earth-oxide,False,intercalated ion,1000,900,1300,,5.82,9.0,8.0,7.5,8.0,7.58,metallic/tension; colored; luminescent
Bi8P4Tm18Y2,Bi8P4Tm18Y2,metallic-other,True,,900,800,1300,,4.34,6.0,3.0,3.5,8.0,5.01,[]
Ag3Er10In1Ni4Y6,Ag3Er10In1Ni4Y6,iron-alloy,True,3D,1200,1200,1500,,3.38,6.0,5.0,7.5,8.0,5.77,luminescent
As1Ge2Nb4P1Zr4,As1Ge2Nb4P1Zr4,metallic-other,True,3D,1200,800,1300,,4.94,9.0,3.0,6.0,8.0,6.13,metallic/tension
Ca1La6O3Si8Y3,Ca1La6O3Si8Y3,calcium-silicate,False,intercalated ion,1200,600,1200,,6.36,9.0,3.0,7.0,8.0,6.64,metallic/tension; ceramic/compression
C6Cr11Mn9Mo2Si1,C6Cr11Mn9Mo2Si1,metallic-other,True,3D,1500,800,1300,,5.88,9.0,3.0,5.0,8.0,6.22,metallic/tension
Al20Nd1Ru4Tm1,Al20Nd1Ru4Tm1,aluminum-alloy,True,3D,1200,660,900,too high: 1200C → suggest 660-900C,6.3,9.0,5.0,4.0,8.0,6.58,metallic/tension
Cd6Li2Ru2Tb9Y9,Cd6Li2Ru2Tb9Y9,metallic-other,True,intercalated ion,1200,800,1300,,3.45,6.0,5.0,9.5,8.0,6.09,luminescent
Cu2Er6Ge1Si5,Cu2Er6Ge1Si5,copper-alloy,True,3D,1250,950,1100,,5.03,9.0,5.0,4.0,8.0,6.26,metallic/tension; luminescent
Be24Ce1Cu2Nd1,Be24Ce1Cu2Nd1,copper-alloy,True,intercalated ion,1200,950,1100,,1.92,9.0,5.0,5.5,8.0,5.71,metallic/tension
Pa10Sb7Sn1,Pa10Sb7Sn1,metallic-other,True,3D,150,800,1300,too low: 150C → suggest 800-1300C,3.79,9.0,3.0,4.5,8.0,5.62,metallic/tension
Gd2In6Nd1O18Pr3,Gd2In6Nd1O18Pr3,rare-earth-oxide,False,3D,1200,900,1300,,5.33,6.0,8.0,7.5,8.0,6.86,electronic/functional; colored; luminescent
Co16Er5Li2P12Tm1,Co16Er5Li2P12Tm1,iron-alloy,True,intercalated ion,1200,1200,1500,,4.62,9.0,5.0,8.0,8.0,6.76,metallic/tension; luminescent
Li4Nd3Si4Sn2Tm1,Li4Nd3Si4Sn2Tm1,metallic-other,True,intercalated ion,1200,800,1300,,5.64,9.0,5.0,7.5,8.0,6.94,metallic/tension
Si6Tb8Tm2,Si6Tb8Tm2,metallic-other,True,3D,1400,800,1300,,4.62,9.0,5.0,5.0,8.0,6.31,metallic/tension; luminescent
Li3Pr8Ru1Si12,Li3Pr8Ru1Si12,metallic-other,True,intercalated ion,1200,800,1300,,5.16,9.0,5.0,7.0,8.0,6.74,metallic/tension; luminescent
Cu2Ru2Si4Tb2Tm2,Cu2Ru2Si4Tb2Tm2,copper-alloy,True,3D,1200,950,1100,,4.46,9.0,5.0,6.5,8.0,6.49,metallic/tension; luminescent
Co5Er3In1Tm9,Co5Er3In1Tm9,iron-alloy,True,3D,1200,1200,1500,,3.17,6.0,5.0,4.5,8.0,5.27,luminescent
Pb16Pr16Sm3Tm1,Pb16Pr16Sm3Tm1,metallic-other,True,,800,800,1300,,4.17,6.0,5.0,4.5,8.0,5.52,luminescent
C12Fe2Nd6Ti2,C12Fe2Nd6Ti2,iron-alloy,True,3D,1200,1200,1500,,5.02,9.0,5.0,4.0,8.0,6.26,metallic/tension
C18Fe12Y11,C18Fe12Y11,iron-alloy,True,3D,150,1200,1500,too low: 150C → suggest 1200-1500C,5.1,6.0,3.0,3.0,8.0,5.12,[]
Er3Ru6Si10Tb1,Er3Ru6Si10Tb1,metallic-other,True,,1200,800,1300,,4.1,6.0,5.0,4.5,8.0,5.5,luminescent
Ni6Sc1W1,Ni6Sc1W1,iron-alloy,True,3D,1500,1200,1500,,4.38,9.0,3.0,4.5,8.0,5.77,metallic/tension
Bi9Er19Sb3Sc1,Bi9Er19Sb3Sc1,metallic-other,True,3D,800,800,1300,,4.06,9.0,5.0,4.0,8.0,6.02,metallic/tension; luminescent
Co1Mo2Ti8,Co1Mo2Ti8,iron-alloy,True,3D,1200,1200,1500,,4.61,9.0,3.0,3.0,8.0,5.6,metallic/tension
Be8C2Co3Mo12Ni1,Be8C2Co3Mo12Ni1,iron-alloy,True,intercalated ion,1000,1200,1500,,3.08,9.0,3.0,8.5,8.0,6.04,metallic/tension
As4Nb3V4Zr1,As4Nb3V4Zr1,metallic-other,True,3D,1200,800,1300,,3.81,9.0,3.0,3.5,8.0,5.48,metallic/tension
La4Si4Tb1Tm1,La4Si4Tb1Tm1,metallic-other,True,3D,1200,800,1300,,5.3,9.0,5.0,4.0,8.0,6.32,metallic/tension; luminescent
Co6Ni12P12Sc6,Co6Ni12P12Sc6,iron-alloy,True,3D,1200,1200,1500,,4.62,9.0,3.0,3.5,8.0,5.68,metallic/tension
Nd8Ru4Tm1Y1,Nd8Ru4Tm1Y1,metallic-other,True,3D,1200,800,1300,,3.61,9.0,5.0,4.0,8.0,5.9,metallic/tension
Cs4Mg2Se8Ti2,Cs4Mg2Se8Ti2,metallic-other,True,intercalated ion,900,800,1300,,4.72,6.0,3.0,5.5,8.0,5.4,electronic/functional
Cs4Ge4La1Nd3Se16,Cs4Ge4La1Nd3Se16,metallic-other,True,intercalated ion,900,800,1300,,4.57,5.0,5.0,8.0,8.0,5.94,electronic/functional
La3Li4Pr1Si8,La3Li4Pr1Si8,metallic-other,True,intercalated ion,1200,800,1300,,5.84,9.0,5.0,5.5,8.0,6.69,metallic/tension; luminescent
Bi4Co4Nd20Sn4,Bi4Co4Nd20Sn4,iron-alloy,True,3D,800,1200,1500,too low: 800C → suggest 1200-1500C,4.19,9.0,5.0,3.0,8.0,5.9,metallic/tension
Al6Mo3Ru12Ti3,Al6Mo3Ru12Ti3,aluminum-alloy,True,3D,800,660,900,,4.12,9.0,3.0,3.5,8.0,5.55,metallic/tension
Nd5Pr1Sn6Tm4,Nd5Pr1Sn6Tm4,metallic-other,True,3D,1200,800,1300,,4.81,9.0,5.0,4.0,8.0,6.2,metallic/tension; luminescent
Cu14Ga12Sr2,Cu14Ga12Sr2,copper-alloy,True,,800,950,1100,,5.19,6.0,3.0,3.5,8.0,5.22,phase-change
Bi4La1O14Y3,Bi4La1O14Y3,general-oxide,False,,800,800,1200,,6.12,6.0,3.0,3.0,8.0,5.38,[]
In3Se25,In3Se25,metallic-other,True,1D,450,800,1300,too low: 450C → suggest 800-1300C,4.92,9.0,3.0,6.5,8.0,6.2,metallic/tension
Ba2Fe4Mn8O24,Ba2Fe4Mn8O24,iron-oxide,False,intercalated ion,900,800,1200,,6.47,6.0,7.0,5.0,8.0,6.57,electronic/functional; colored; magnetic
C1Mg1Sc3,C1Mg1Sc3,metallic-other,True,intercalated ion,800,800,1300,,4.7,9.0,3.0,5.5,8.0,6.0,metallic/tension
Nd2O20Pr6Ti4,Nd2O20Pr6Ti4,rare-earth-oxide,False,,1200,900,1300,,5.58,8.0,8.0,3.5,8.0,6.72,ceramic/compression; colored; luminescent
Cs12S14Sb4Se2,Cs12S14Sb4Se2,sulfide,False,intercalated ion,600,150,800,,6.73,6.0,3.0,5.5,8.0,5.91,electronic/functional; sulfide/lightweight
C2Er1P2Ru4Y1,C2Er1P2Ru4Y1,metallic-other,True,3D,150,800,1300,too low: 150C → suggest 800-1300C,3.65,9.0,5.0,6.0,8.0,6.21,metallic/tension; luminescent
La2Mo2Nd2O20Se4,La2Mo2Nd2O20Se4,rare-earth-oxide,False,3D,800,900,1300,,5.83,6.0,8.5,5.0,8.0,6.71,translucent-potential; electronic/functional; colored
Ba4Ga4Ge1O14Si1,Ba4Ga4Ge1O14Si1,general-oxide,False,intercalated ion,1200,800,1200,,6.07,7.0,5.0,8.0,8.0,6.72,ceramic/compression; translucent-potential; electronic/functional; phase-change; IR-transparent
P1Pb6S1Y10,P1Pb6S1Y10,sulfide,False,3D,800,150,800,,7.08,9.0,3.0,4.0,8.0,6.37,metallic/tension; sulfide/lightweight
Mo12P1Sc8Si15,Mo12P1Sc8Si15,metallic-other,True,,1200,800,1300,,5.33,6.0,3.0,3.5,8.0,5.26,[]
Nd20Sn14Te2,Nd20Sn14Te2,metallic-other,True,3D,1000,800,1300,,5.04,6.0,7.0,3.5,8.0,5.99,translucent-potential
Er4Mn1Ni13,Er4Mn1Ni13,iron-alloy,True,3D,1100,1200,1500,,4.25,9.0,5.0,3.5,8.0,5.99,metallic/tension; luminescent
La8Sn6Y2,La8Sn6Y2,metallic-other,True,3D,1000,800,1300,,5.28,9.0,3.0,3.0,8.0,5.77,metallic/tension
La8Si16Sm4Tb8,La8Si16Sm4Tb8,metallic-other,True,3D,1200,800,1300,,5.17,9.0,5.0,4.0,8.0,6.29,metallic/tension; luminescent
Cd1Nb9Se16,Cd1Nb9Se16,metallic-other,True,3D,800,800,1300,,4.86,9.0,3.0,4.5,8.0,5.89,metallic/tension
P2Sn6Tm4Y6,P2Sn6Tm4Y6,metallic-other,True,3D,1200,800,1300,,5.08,6.0,3.0,4.5,8.0,5.35,[]
Ba3O9Tm3Y1,Ba3O9Tm3Y1,general-oxide,False,,800,800,1200,,5.87,6.0,3.0,4.5,8.0,5.54,[]
Ba3La1O24Sr4Ti8,Ba3La1O24Sr4Ti8,perovskite-BaTiO3,False,intercalated ion,1200,1100,1350,,5.6,9.0,4.0,7.0,8.0,6.65,metallic/tension; ceramic/compression; piezoelectric
Ni16P12Pr6Sc2,Ni16P12Pr6Sc2,iron-alloy,True,3D,1200,1200,1500,,4.5,6.0,5.0,4.0,8.0,5.53,luminescent
Fe6Mn11P12Tb4Ti3,Fe6Mn11P12Tb4Ti3,iron-alloy,True,3D,1200,1200,1500,,4.88,6.0,7.0,5.5,8.0,6.24,translucent-potential; luminescent
Bi2Ce2Co2Sb2,Bi2Ce2Co2Sb2,iron-alloy,True,3D,1000,1200,1500,,4.19,9.0,3.0,3.0,8.0,5.5,metallic/tension
Cu2K1Sb2Tb1,Cu2K1Sb2Tb1,copper-alloy,True,intercalated ion,1200,950,1100,,5.33,9.0,5.0,6.5,8.0,6.71,metallic/tension; luminescent
La6Nd8Ni6,La6Nd8Ni6,iron-alloy,True,3D,1200,1200,1500,,4.22,9.0,5.0,3.0,8.0,5.91,metallic/tension
In6Ni20P6Sn4,In6Ni20P6Sn4,iron-alloy,True,3D,300,1200,1500,too low: 300C → suggest 1200-1500C,4.62,9.0,3.0,3.5,8.0,5.68,metallic/tension
B4Co9Si2Tm3,B4Co9Si2Tm3,iron-alloy,True,3D,1500,1200,1500,,4.46,9.0,3.0,4.5,8.0,5.79,metallic/tension
Cu4Ga4Pa1Tb1,Cu4Ga4Pa1Tb1,copper-alloy,True,3D,800,950,1100,,4.71,9.0,5.0,4.5,8.0,6.25,metallic/tension; luminescent; phase-change
Na3Pr5Te8,Na3Pr5Te8,metallic-other,True,intercalated ion,800,800,1300,,2.56,9.0,5.0,7.0,8.0,6.09,metallic/tension; luminescent
O13Pb4W3Y1,O13Pb4W3Y1,general-oxide,False,,1200,800,1200,,6.1,6.0,3.0,4.0,8.0,5.52,[]
Fe7Ni13P13Zr6,Fe7Ni13P13Zr6,iron-alloy,True,3D,1200,1200,1500,,5.13,6.0,5.0,3.0,8.0,5.53,translucent-potential
Al19Ca1Ru4Si1Tb1,Al19Ca1Ru4Si1Tb1,aluminum-alloy,True,intercalated ion,950,660,900,,6.36,9.0,5.0,8.0,8.0,7.19,metallic/tension; luminescent
K2O12W4,K2O12W4,general-oxide,False,intercalated ion,200,800,1200,too low: 200C → suggest 800-1200C,6.33,6.0,3.0,5.0,8.0,5.73,electronic/functional
Co1Ni1Pb4Ti8,Co1Ni1Pb4Ti8,iron-alloy,True,3D,1200,1200,1500,,4.54,9.0,3.0,3.0,8.0,5.58,metallic/tension
Er1Li4O16Si4Y3,Er1Li4O16Si4Y3,rare-earth-oxide,False,intercalated ion,1000,900,1300,,5.96,8.0,8.5,7.5,8.0,7.51,ceramic/compression; translucent-potential; colored; luminescent
Ba3Mn4Ni2P6,Ba3Mn4Ni2P6,iron-alloy,True,intercalated ion,900,1200,1500,too low: 900C → suggest 1200-1500C,5.05,6.0,3.0,5.0,8.0,5.41,[]
Ga3Ru4Si1Tb3Tm1,Ga3Ru4Si1Tb3Tm1,metallic-other,True,3D,1000,800,1300,,2.94,6.0,5.0,7.0,8.0,5.58,luminescent; phase-change
Bi6O14Tb2,Bi6O14Tb2,rare-earth-oxide,False,3D,800,900,1300,,5.65,6.0,6.5,3.5,8.0,6.04,electronic/functional; colored; luminescent
Ba6Nb7O21,Ba6Nb7O21,general-oxide,False,intercalated ion,1200,800,1200,,6.23,9.0,3.0,6.0,8.0,6.46,metallic/tension
Si2Te26W4,Si2Te26W4,metallic-other,True,2D,800,800,1300,,1.5,6.0,3.0,5.5,8.0,4.6,[]
